time.interval,hash.tag,count
2015-04-23 18:53:34,pharma,0
2015-04-23 18:52:22,dengue,8
2015-04-23 18:52:22,ondox,0
2015-04-23 18:52:22,brazil,1
2015-04-23 18:52:22,ebola,0
2015-04-23 18:52:22,health,1
2015-04-23 18:52:22,mosquito,0
2015-04-23 18:52:22,pakistan,0
2015-04-23 18:52:22,saopaulo,0
2015-04-23 18:52:22,news,0
2015-04-23 18:52:22,karachi,0
2015-04-23 18:52:22,chikungunya,0
2015-04-23 18:52:22,pmln,0
2015-04-23 18:52:22,malaysia,0
2015-04-23 18:52:22,ptihas,0
2015-04-23 18:52:22,changepenang,0
2015-04-23 18:52:22,justice4saiful,0
2015-04-23 18:52:22,india,0
2015-04-23 18:52:22,malaria,1
2015-04-23 18:52:22,peru,0
2015-04-23 18:52:22,pharma,0
2015-04-23 18:49:17,dengue,8
2015-04-23 18:49:17,ondox,0
2015-04-23 18:49:17,brazil,1
2015-04-23 18:49:17,ebola,0
2015-04-23 18:49:17,health,1
2015-04-23 18:49:17,mosquito,0
2015-04-23 18:49:17,pakistan,0
2015-04-23 18:49:17,saopaulo,0
2015-04-23 18:49:17,news,0
2015-04-23 18:49:17,karachi,0
2015-04-23 18:49:17,chikungunya,0
2015-04-23 18:49:17,pmln,0
2015-04-23 18:49:17,malaysia,0
2015-04-23 18:49:17,ptihas,0
2015-04-23 18:49:17,changepenang,0
2015-04-23 18:49:17,justice4saiful,0
2015-04-23 18:49:17,india,0
2015-04-23 18:49:17,malaria,1
2015-04-23 18:49:17,peru,0
2015-04-23 18:49:17,pharma,0
2015-04-23 18:49:08,dengue,9
2015-04-23 18:49:08,ondox,0
2015-04-23 18:49:08,brazil,2
2015-04-23 18:49:08,ebola,0
2015-04-23 18:49:08,health,1
2015-04-23 18:49:08,mosquito,0
2015-04-23 18:49:08,pakistan,0
2015-04-23 18:49:08,saopaulo,0
2015-04-23 18:49:08,news,0
2015-04-23 18:49:08,karachi,0
2015-04-23 18:49:08,chikungunya,0
2015-04-23 18:49:08,pmln,0
2015-04-23 18:49:08,malaysia,0
2015-04-23 18:49:08,ptihas,0
2015-04-23 18:49:08,changepenang,0
2015-04-23 18:49:08,justice4saiful,0
2015-04-23 18:49:08,india,0
2015-04-23 18:49:08,malaria,1
2015-04-23 18:49:08,peru,0
2015-04-23 18:49:08,pharma,0
2015-04-23 18:47:18,dengue,9
2015-04-23 18:47:18,ondox,0
2015-04-23 18:47:18,brazil,2
2015-04-23 18:47:18,ebola,0
2015-04-23 18:47:18,health,1
2015-04-23 18:47:18,mosquito,0
2015-04-23 18:47:18,pakistan,0
2015-04-23 18:47:18,saopaulo,0
2015-04-23 18:47:18,news,0
2015-04-23 18:47:18,karachi,0
2015-04-23 18:47:18,chikungunya,0
2015-04-23 18:47:18,pmln,0
2015-04-23 18:47:18,malaysia,0
2015-04-23 18:47:18,ptihas,0
2015-04-23 18:47:18,changepenang,0
2015-04-23 18:47:18,justice4saiful,0
2015-04-23 18:47:18,india,0
2015-04-23 18:47:18,malaria,1
2015-04-23 18:47:18,peru,0
2015-04-23 18:47:18,pharma,0
2015-04-23 18:47:14,dengue,9
2015-04-23 18:47:14,ondox,0
2015-04-23 18:47:14,brazil,2
2015-04-23 18:47:14,ebola,0
2015-04-23 18:47:14,health,1
2015-04-23 18:47:14,mosquito,0
2015-04-23 18:47:14,pakistan,0
2015-04-23 18:47:14,saopaulo,0
2015-04-23 18:47:14,news,0
2015-04-23 18:47:14,karachi,0
2015-04-23 18:47:14,chikungunya,0
2015-04-23 18:47:14,pmln,0
2015-04-23 18:47:14,malaysia,0
2015-04-23 18:47:14,ptihas,0
2015-04-23 18:47:14,changepenang,0
2015-04-23 18:47:14,justice4saiful,0
2015-04-23 18:47:14,india,0
2015-04-23 18:47:14,malaria,1
2015-04-23 18:47:14,peru,0
2015-04-23 18:47:14,pharma,0
2015-04-23 18:47:12,dengue,9
2015-04-23 18:47:12,ondox,0
2015-04-23 18:47:12,brazil,2
2015-04-23 18:47:12,ebola,0
2015-04-23 18:47:12,health,1
2015-04-23 18:47:12,mosquito,0
2015-04-23 18:47:12,pakistan,0
2015-04-23 18:47:12,saopaulo,0
2015-04-23 18:47:12,news,0
2015-04-23 18:47:12,karachi,0
2015-04-23 18:47:12,chikungunya,0
2015-04-23 18:47:12,pmln,0
2015-04-23 18:47:12,malaysia,0
2015-04-23 18:47:12,ptihas,0
2015-04-23 18:47:12,changepenang,0
2015-04-23 18:47:12,justice4saiful,0
2015-04-23 18:47:12,india,0
2015-04-23 18:47:12,malaria,1
2015-04-23 18:47:12,peru,0
2015-04-23 18:47:12,pharma,0
2015-04-23 18:47:11,dengue,9
2015-04-23 18:47:11,ondox,0
2015-04-23 18:47:11,brazil,2
2015-04-23 18:47:11,ebola,0
2015-04-23 18:47:11,health,1
2015-04-23 18:47:11,mosquito,0
2015-04-23 18:47:11,pakistan,0
2015-04-23 18:47:11,saopaulo,0
2015-04-23 18:47:11,news,0
2015-04-23 18:47:11,karachi,0
2015-04-23 18:47:11,chikungunya,0
2015-04-23 18:47:11,pmln,0
2015-04-23 18:47:11,malaysia,0
2015-04-23 18:47:11,ptihas,0
2015-04-23 18:47:11,changepenang,0
2015-04-23 18:47:11,justice4saiful,0
2015-04-23 18:47:11,india,0
2015-04-23 18:47:11,malaria,1
2015-04-23 18:47:11,peru,0
2015-04-23 18:47:11,pharma,0
2015-04-23 18:47:01,dengue,9
2015-04-23 18:47:01,ondox,0
2015-04-23 18:47:01,brazil,2
2015-04-23 18:47:01,ebola,0
2015-04-23 18:47:01,health,1
2015-04-23 18:47:01,mosquito,0
2015-04-23 18:47:01,pakistan,0
2015-04-23 18:47:01,saopaulo,0
2015-04-23 18:47:01,news,0
2015-04-23 18:47:01,karachi,0
2015-04-23 18:47:01,chikungunya,0
2015-04-23 18:47:01,pmln,0
2015-04-23 18:47:01,malaysia,0
2015-04-23 18:47:01,ptihas,0
2015-04-23 18:47:01,changepenang,0
2015-04-23 18:47:01,justice4saiful,0
2015-04-23 18:47:01,india,0
2015-04-23 18:47:01,malaria,1
2015-04-23 18:47:01,peru,0
2015-04-23 18:47:01,pharma,0
2015-04-23 18:44:27,dengue,9
2015-04-23 18:44:27,ondox,0
2015-04-23 18:44:27,brazil,2
2015-04-23 18:44:27,ebola,0
2015-04-23 18:44:27,health,1
2015-04-23 18:44:27,mosquito,0
2015-04-23 18:44:27,pakistan,0
2015-04-23 18:44:27,saopaulo,0
2015-04-23 18:44:27,news,0
2015-04-23 18:44:27,karachi,0
2015-04-23 18:44:27,chikungunya,0
2015-04-23 18:44:27,pmln,0
2015-04-23 18:44:27,malaysia,0
2015-04-23 18:44:27,ptihas,0
2015-04-23 18:44:27,changepenang,0
2015-04-23 18:44:27,justice4saiful,0
2015-04-23 18:44:27,india,0
2015-04-23 18:44:27,malaria,1
2015-04-23 18:44:27,peru,0
2015-04-23 18:44:27,pharma,0
